Id,UserId,Name,Date,Class,TagBased
1,7,Informed,2013-10-08T21:34:20.580,3,False
2,1,Autobiographer,2013-10-08T21:37:50.533,3,False
3,2,Autobiographer,2013-10-08T21:37:50.533,3,False
4,3,Autobiographer,2013-10-08T21:37:50.533,3,False
5,8,Autobiographer,2013-10-08T21:37:50.533,3,False
6,11,Autobiographer,2013-10-08T21:37:50.533,3,False
7,12,Autobiographer,2013-10-08T21:37:50.533,3,False
8,13,Autobiographer,2013-10-08T21:37:50.533,3,False
9,3,Precognitive,2013-10-08T21:37:50.487,3,False
11,10,Precognitive,2013-10-08T21:37:50.487,3,False
12,3,Student,2013-10-08T21:37:50.533,3,False
13,5,Supporter,2013-10-08T21:37:50.533,3,False
14,11,Supporter,2013-10-08T21:37:50.533,3,False
15,13,Supporter,2013-10-08T21:37:50.533,3,False
16,13,Informed,2013-10-08T21:39:17.250,3,False
17,14,Autobiographer,2013-10-08T21:42:49.950,3,False
18,10,Student,2013-10-08T21:42:49.950,3,False
19,7,Supporter,2013-10-08T21:42:49.950,3,False
20,10,Supporter,2013-10-08T21:42:49.950,3,False
21,16,Informed,2013-10-08T21:46:00.043,3,False
22,15,Autobiographer,2013-10-08T21:47:49.960,3,False
23,14,Supporter,2013-10-08T21:47:49.960,3,False
24,19,Autobiographer,2013-10-08T21:52:49.907,3,False
25,17,Supporter,2013-10-08T21:52:49.907,3,False
26,21,Autobiographer,2013-10-08T21:57:49.917,3,False
27,23,Autobiographer,2013-10-08T21:57:49.917,3,False
28,24,Autobiographer,2013-10-08T21:57:49.917,3,False
29,25,Autobiographer,2013-10-08T22:02:50.050,3,False
30,26,Autobiographer,2013-10-08T22:02:50.050,3,False
31,28,Autobiographer,2013-10-08T22:02:50.050,3,False
32,13,Student,2013-10-08T22:02:50.050,3,False
33,16,Supporter,2013-10-08T22:02:50.050,3,False
34,18,Supporter,2013-10-08T22:02:50.050,3,False
35,29,Autobiographer,2013-10-08T22:07:54.623,3,False
