Id,UserId,Name,Date,Class,TagBased
1,3,Precognitive,2015-01-27T20:17:41.460,3,False
2,4,Precognitive,2015-01-27T20:17:41.460,3,False
3,5,Precognitive,2015-01-27T20:17:41.460,3,False
4,8,Precognitive,2015-01-27T20:17:41.460,3,False
5,9,Autobiographer,2015-01-27T20:17:41.483,3,False
6,8,Autobiographer,2015-01-27T20:17:41.483,3,False
7,7,Autobiographer,2015-01-27T20:17:41.483,3,False
8,6,Autobiographer,2015-01-27T20:17:41.483,3,False
9,5,Autobiographer,2015-01-27T20:17:41.483,3,False
10,4,Autobiographer,2015-01-27T20:17:41.483,3,False
11,3,Autobiographer,2015-01-27T20:17:41.483,3,False
12,2,Autobiographer,2015-01-27T20:17:41.483,3,False
13,1,Autobiographer,2015-01-27T20:17:41.483,3,False
14,4,Student,2015-01-27T20:17:41.483,3,False
15,1,Supporter,2015-01-27T20:17:41.483,3,False
16,8,Supporter,2015-01-27T20:17:41.483,3,False
17,12,Autobiographer,2015-01-27T20:22:41.373,3,False
18,11,Autobiographer,2015-01-27T20:22:41.373,3,False
19,10,Autobiographer,2015-01-27T20:22:41.373,3,False
20,8,Student,2015-01-27T20:22:41.373,3,False
21,4,Supporter,2015-01-27T20:22:41.373,3,False
22,13,Autobiographer,2015-01-27T20:27:41.300,3,False
23,10,Supporter,2015-01-27T20:32:47.537,3,False
24,18,Autobiographer,2015-01-27T20:42:47.387,3,False
25,17,Autobiographer,2015-01-27T20:42:47.387,3,False
26,19,Autobiographer,2015-01-27T20:47:47.350,3,False
27,8,Editor,2015-01-27T20:47:47.350,3,False
28,4,Teacher,2015-01-27T20:47:47.350,3,False
29,22,Autobiographer,2015-01-27T20:52:47.323,3,False
30,17,Teacher,2015-01-27T20:52:47.323,3,False
31,24,Autobiographer,2015-01-27T20:57:47.313,3,False
32,23,Autobiographer,2015-01-27T20:57:47.313,3,False
33,16,Student,2015-01-27T20:57:47.313,3,False
34,19,Supporter,2015-01-27T20:57:47.313,3,False
35,24,Supporter,2015-01-27T20:57:47.313,3,False
36,31,Autobiographer,2015-01-27T21:02:47.387,3,False
37,28,Autobiographer,2015-01-27T21:02:47.387,3,False
